p,blocks,ears per block,time
0.0,50.0,0.0,0.0017751550000000024
0.01,37.851,0.035,0.001436730000000005
0.02,25.752,0.496,0.0011291280000000094
0.03,15.844,2.652,0.0008735790000000111
0.04,9.404,8.091,0.0007593700000000101
0.05,5.525,17.396,0.0007269580000000083
0.06,3.644,27.562,0.0007326270000000076
0.07,2.469,38.554,0.0007752780000000089
0.08,1.898,50.126,0.0008290720000000096
0.09,1.504,61.677,0.0009236980000000114
0.1,1.295,73.776,0.001024262000000013
0.11,1.159,86.492,0.0011315280000000086
0.12,1.089,97.983,0.0012504320000000047
0.13,1.062,110.21,0.001371530000000004
0.14,1.021,122.148,0.001494562000000003
0.15,1.019,135.192,0.0016594820000000027
0.16,1.009,147.773,0.0017995050000000033
0.17,1.004,158.75,0.0020274920000000057
0.18,1.005,170.624,0.0022211910000000017
0.19,1.002,183.709,0.0023987400000000003
0.2,1.002,195.676,0.002710361000000003
0.21,1.001,207.982,0.002973548999999999
0.22,1.0,221.005,0.0030267180000000007
0.23,1.0,232.6,0.003272767999999994
0.24,1.0,245.207,0.003495356999999985
0.25,1.0,257.501,0.003754676999999979
0.26,1.0,268.869,0.004104154999999967
0.27,1.0,281.622,0.004316973999999963
0.28,1.0,293.893,0.004586994999999972
0.29,1.0,306.819,0.005488174999999972
0.3,1.0,318.55,0.00526425799999996
0.31,1.0,330.145,0.005543499999999972
0.32,1.0,343.154,0.005917069999999979
0.33,1.0,355.112,0.006218887999999962
0.34,1.0,367.411,0.006571068999999965
0.35,1.0,379.332,0.006933052999999954
0.36,1.0,391.83,0.007306990999999961
0.37,1.0,404.601,0.007711880999999945
0.38,1.0,417.216,0.008178910999999955
0.39,1.0,428.93,0.008569406999999953
0.4,1.0,440.013,0.008989643999999937
0.41,1.0,453.53,0.00952219699999997
0.42,1.0,465.733,0.00986317599999997
0.43,1.0,478.005,0.010295417999999973
0.44,1.0,490.636,0.010834835999999992
0.45,1.0,502.368,0.011274635999999979
0.46,1.0,514.99,0.011733686999999986
0.47,1.0,528.14,0.012281817000000007
0.48,1.0,539.196,0.012750188999999988
0.49,1.0,551.731,0.013257706000000015
0.5,1.0,563.69,0.013857943000000044
0.51,1.0,575.809,0.014395145000000014
0.52,1.0,587.71,0.014897310000000018
0.53,1.0,600.115,0.015490110000000024
0.54,1.0,612.462,0.016146757999999976
0.55,1.0,624.486,0.016578454999999964
0.56,1.0,636.483,0.017108590999999965
0.57,1.0,649.585,0.017777580999999962
0.58,1.0,660.656,0.018278259999999942
0.59,1.0,673.598,0.018939340999999936
0.6,1.0,685.474,0.019672346999999986
0.61,1.0,698.87,0.02044543099999998
0.62,1.0,710.014,0.021005359999999976
0.63,1.0,721.951,0.021677311000000046
0.64,1.0,736.059,0.02246864400000003
0.65,1.0,747.728,0.023186371000000025
0.66,1.0,759.158,0.023831632000000002
0.67,1.0,771.76,0.024654063000000018
0.68,1.0,783.912,0.025373034000000003
0.69,1.0,796.423,0.026092711999999987
0.7,1.0,808.903,0.026953414000000002
0.71,1.0,821.276,0.027741620999999998
0.72,1.0,832.27,0.02848192200000006
0.73,1.0,845.725,0.029177579000000033
0.74,1.0,857.199,0.02998290000000007
0.75,1.0,869.178,0.03070894100000008
0.76,1.0,882.35,0.031697053
0.77,1.0,895.059,0.032489545000000064
0.78,1.0,906.214,0.03349747199999999
0.79,1.0,918.486,0.033989199000000074
0.8,1.0,931.06,0.03505854099999997
0.81,1.0,943.378,0.035862107000000025
0.82,1.0,955.639,0.03682022999999998
0.83,1.0,967.618,0.03846463400000001
0.84,1.0,979.641,0.051343428
0.85,1.0,992.665,0.05083314900000004
0.86,1.0,1004.488,0.045693891000000035
0.87,1.0,1017.202,0.04737684399999997
0.88,1.0,1029.317,0.05387392999999998
0.89,1.0,1040.825,0.06287934900000003
0.9,1.0,1053.521,0.06268606800000001
0.91,1.0,1065.399,0.05673776900000003
0.92,1.0,1078.37,0.06003206300000002
0.93,1.0,1090.175,0.06519889700000002
0.94,1.0,1102.659,0.07038700700000008
0.95,1.0,1114.611,0.06535126699999995
0.96,1.0,1127.095,0.06510708100000004
0.97,1.0,1139.11,0.07168398400000002
0.98,1.0,1151.524,0.07693024299999994
0.99,1.0,1163.707,0.07481468599999996
1.0,1.0,1176.0,0.075948658
